893,385,0,155,none
873,389,-300,0,MoveLeft
848,389,-300,0,MoveLeft
823,370,-300,-367,MoveLeft
798,344,-300,-285,MoveLeft
791,324,0,-203,MoveLeft
781,311,-300,-122,MoveLeft
756,305,-300,-40,MoveLeft
731,306,-300,41,MoveLeft
706,313,-300,122,MoveLeft
681,317,-300,0,MoveLeft
656,317,-300,0,MoveLeft
631,311,-300,-400,MoveLeft
606,282,-300,-318,MoveLeft
581,259,-300,-236,MoveLeft
556,243,-300,-154,MoveLeft
531,235,-300,-73,MoveLeft
506,233,-300,8,MoveLeft
481,237,-300,90,MoveLeft
456,249,-300,171,MoveLeft
431,267,-300,253,MoveLeft
406,293,-300,335,MoveLeft
381,325,-300,416,MoveLeft
356,363,-300,498,MoveLeft
331,409,-300,580,MoveLeft
306,461,-300,661,MoveLeft
296,521,0,743,none
301,549,300,0,MoveRight
326,549,300,0,MoveRight
351,549,300,0,MoveRight
376,536,300,-383,MoveRight
401,508,300,-301,MoveRight
426,487,300,-220,MoveRight
451,473,300,-138,MoveRight
466,466,0,-56,none
466,465,0,24,none
476,471,300,106,MoveRight
501,484,300,188,MoveRight
